Date,HomeTeam,AwayTeam,Score,HandicapLine,BetSide,BetOdds,Profit,Result,FactorValue,FactorComponents,AHResult
2023-02-10T16:00:00.000Z,Crystal Palace,Brighton,1-1,+0.5/+1,HOME,1.900,90.00,WIN,0.5000,F1:0.5,home
2023-02-10T16:00:00.000Z,West Ham,Chelsea,1-1,0/+0.5,HOME,2.030,0.00,PUSH,0.0000,F1:0,draw
2023-02-10T16:00:00.000Z,Southampton,Wolves,1-2,0/+0.5,HOME,1.820,-100.00,LOSS,0.0000,F1:0,away
2023-02-10T16:00:00.000Z,Leicester,Tottenham,4-1,0/+0.5,HOME,2.080,108.00,WIN,0.0000,F1:0,home
2023-02-10T16:00:00.000Z,Arsenal,Brentford,1-1,-1/-1.5,AWAY,1.790,79.00,WIN,-1.0000,F1:-1,away
2023-02-11T16:00:00.000Z,Bournemouth,Newcastle,1-1,+1,HOME,1.830,83.00,WIN,1.0000,F1:1,home
2023-02-11T16:00:00.000Z,Leeds,Manchester Utd,0-2,+0.5/+1,HOME,1.720,-100.00,LOSS,0.5000,F1:0.5,away
2023-02-12T16:00:00.000Z,Manchester City,Aston Villa,1-1,-1.5/-2,AWAY,1.860,-100.00,LOSS,-1.5000,F1:-1.5,home
2023-02-13T16:00:00.000Z,Liverpool,Everton,2-0,-1,AWAY,1.950,-100.00,LOSS,-1.0000,F1:-1,home
2023-02-15T16:00:00.000Z,Arsenal,Manchester City,1-3,0/+0.5,HOME,1.930,-100.00,LOSS,0.0000,F1:0,away
2023-02-17T16:00:00.000Z,Nottingham Forest,Manchester City,6-0,+1.5/+2,HOME,1.890,89.00,WIN,1.5000,F1:1.5,home
2023-02-17T16:00:00.000Z,Aston Villa,Arsenal,2-4,+0.5/+1,HOME,1.760,-100.00,LOSS,0.5000,F1:0.5,away
2023-02-17T16:00:00.000Z,Everton,Leeds,1-0,0,HOME,1.890,89.00,WIN,0.0000,F1:0,home
2023-02-17T16:00:00.000Z,Chelsea,Southampton,0-1,-1/-1.5,AWAY,1.990,99.00,WIN,-1.0000,F1:-1,away
2023-02-17T16:00:00.000Z,Brighton,Fulham,0-1,-1,AWAY,1.970,97.00,WIN,-1.0000,F1:-1,away
2023-02-18T16:00:00.000Z,Newcastle,Liverpool,2-1,0,HOME,1.870,-100.00,LOSS,0.0000,F1:0,away
2023-02-18T16:00:00.000Z,Manchester Utd,Leicester,3-0,-1,AWAY,1.980,-100.00,LOSS,-1.0000,F1:-1,home
2023-02-24T16:00:00.000Z,Leicester,Arsenal,4-2,+1,HOME,1.960,0.00,PUSH,1.0000,F1:1,draw
2023-02-24T16:00:00.000Z,Fulham,Wolves,1-1,0,HOME,1.770,0.00,PUSH,0.0000,F1:0,draw
2023-02-24T16:00:00.000Z,Everton,Aston Villa,0-2,0,HOME,1.760,-100.00,LOSS,0.0000,F1:0,away
2023-02-25T16:00:00.000Z,Bournemouth,Manchester City,1-4,+1.5/+2,HOME,1.850,-100.00,LOSS,1.5000,F1:1.5,away
2023-02-25T16:00:00.000Z,Crystal Palace,Liverpool,0-0,+0.5/+1,HOME,2.050,105.00,WIN,0.5000,F1:0.5,home
2023-02-25T16:00:00.000Z,Tottenham,Chelsea,2-0,0,HOME,2.030,103.00,WIN,0.0000,F1:0,home
2023-03-01T16:00:00.000Z,Liverpool,Wolves,2-0,-1,AWAY,2.070,-100.00,LOSS,-1.0000,F1:-1,home
